accuracy,precision,recall,f1,state_count,density,train_time_sec,inference_time_sec,unseen_window_count,detection_rate,mapping_accuracy,direction,train_dataset,test_dataset,model,window,alphabet,seed
0.0,0.0,0.0,0.0,66,0.028236914600550965,0.05099081993103027,0.4490010738372803,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A4,4,4,7
0.0049261083743842365,0.0,0.0,0.0,88,0.021177685950413222,0.0540311336517334,0.6315884590148926,203,0.0,0.0049261083743842365,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A5,4,5,7
0.0,0.0,0.0,0.0,102,0.018166089965397925,0.052010297775268555,0.7349097728729248,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A6,4,6,7
0.0,0.0,0.0,0.0,68,0.025086505190311418,0.05199408531188965,0.7360184192657471,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A3,5,3,7
0.0,0.0,0.0,0.0,121,0.015299501400177584,0.05199766159057617,1.3584403991699219,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A4,5,4,7
0.006289308176100629,0.0,0.0,0.0,162,0.01047858558146624,0.05200529098510742,1.8133063316345215,159,0.0,0.006289308176100629,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A5,5,5,7
0.0,0.0,0.0,0.0,195,0.008783694937541092,0.052004337310791016,2.199859380722046,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A6,5,6,7
0.0,0.0,0.0,0.0,106,0.014773940904236383,0.048986196517944336,1.6667680740356445,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A3,6,3,7
0.0,0.0,0.0,0.0,206,0.007870675841266848,0.0489201545715332,3.2354443073272705,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A4,6,4,7
0.0,0.0,0.0,0.0,269,0.005707494368513426,0.04899144172668457,4.207993268966675,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A5,6,5,7
0.0,0.0,0.0,0.0,300,0.005177777777777778,0.04999899864196777,4.686094760894775,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A6,6,6,7
0.6154154421586963,0.48345398138572904,0.3321492007104796,0.3937671088650242,27,0.0877914951989026,0.003004312515258789,0.014901399612426758,0,0.0,0.0,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A3,3,3,7
0.6239647341704515,0.5,0.08454706927175844,0.14463688848374354,58,0.0469678953626635,0.001997709274291992,0.41800498962402344,456,1.0,0.5087719298245614,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A4,3,4,7
0.3840502270905691,0.37752318603382434,0.983303730017762,0.5455799743766631,105,0.025034013605442176,0.0029959678649902344,0.6286005973815918,381,1.0,0.4120734908136483,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A5,3,5,7
0.6084691423991451,0.47282099343955014,0.358436944937833,0.4077591432612649,166,0.015132820438380027,0.0019991397857666016,4.655883073806763,1873,1.0,0.4858515750133476,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A6,3,6,7
0.3585174625801853,0.35789473684210527,0.9995017438963627,0.5270625328428796,71,0.02638365403689744,0.0030014514923095703,11.857531785964966,4640,1.0,0.4084051724137931,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A3,4,3,7
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,153,0.01114955786236063,0.0030057430267333984,31.477761030197144,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A4,4,4,7
0.3576265146115467,0.3576265146115467,1.0,0.5268407927549548,259,0.005784052116098448,0.003000020980834961,52.481794595718384,5612,1.0,0.3576265146115467,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A5,4,5,7
