accuracy,precision,recall,f1,train_time_sec,inference_time_sec,dataset,scenario,model,seed,state_count,density,unseen_window_count,detection_rate,mapping_accuracy,window,alphabet
0.7415730337078652,0.6710963455149501,0.6066066066066066,0.637223974763407,0.008945703506469727,0.2118358612060547,SKAB_Fold2,Gaussian_Noise,Automata_W5_A4,7,97.0,0.016686151557019874,112.0,0.9647058823529412,0.75,5.0,4.0
0.6764044943820224,0.5572519083969466,0.6576576576576577,0.6033057851239669,0.008887290954589844,0.8808767795562744,SKAB_Fold2,Gaussian_Noise,Automata_W5_A5,7,103.0,0.015270053727966821,348.0,0.9,0.5718390804597702,5.0,5.0
0.6887640449438203,0.5534351145038168,0.8708708708708709,0.676779463243874,0.008884191513061523,1.6834311485290527,SKAB_Fold2,Gaussian_Noise,Automata_W5_A6,7,137.0,0.010975544781288295,457.0,0.9518518518518518,0.5973741794310722,5.0,6.0
0.8455284552845529,0.8590163934426229,0.7867867867867868,0.8213166144200627,0.00844717025756836,0.5511510372161865,SKAB_Fold2,Gaussian_Noise,Automata_W6_A3,7,68.0,0.018598615916955018,189.0,0.9877300613496932,0.8624338624338624,6.0,3.0
0.8211382113821138,0.8,0.8048048048048048,0.8023952095808383,0.008779048919677734,1.3745765686035156,SKAB_Fold2,Gaussian_Noise,Automata_W6_A4,7,134.0,0.010637112942748942,280.0,0.9748953974895398,0.8464285714285714,6.0,4.0
0.7886178861788617,0.7163814180929096,0.8798798798798799,0.7897574123989218,0.008602380752563477,2.289252519607544,SKAB_Fold2,Gaussian_Noise,Automata_W6_A5,7,140.0,0.009693877551020408,371.0,0.9846743295019157,0.7196765498652291,6.0,5.0
0.7168021680216802,0.6319148936170212,0.8918918918918919,0.7397260273972602,0.008757829666137695,4.251352310180664,SKAB_Fold2,Gaussian_Noise,Automata_W6_A6,7,186.0,0.007226268932824604,405.0,0.9649122807017544,0.6962962962962963,6.0,6.0
0.5808463251670378,0.3937538273116963,0.41889250814332246,0.4059343434343434,14.76313853263855,0.1815187931060791,SKAB_Fold2,Unseen,LSTM,7,,,,,,,
0.5884187082405345,0.36259877085162423,0.26905537459283385,0.3089005235602094,18.469111919403076,0.21787428855895996,SKAB_Fold2,Unseen,GRU,7,,,,,,,
0.6534521158129176,0.043478260869565216,0.0006514657980456026,0.0012836970474967907,7.911941051483154,0.11128020286560059,SKAB_Fold2,Unseen,CNN1D,7,,,,,,,
0.5445411922304085,0.0,0.0,0.0,0.010149240493774414,0.002815723419189453,SKAB_Fold2,Unseen,Automata_W3_A3,7,17.0,0.11764705882352941,0.0,0.0,0.0,3.0,3.0
0.5867381111855325,0.35294117647058826,0.05067567567567568,0.08862629246676514,0.010744094848632812,0.003385782241821289,SKAB_Fold2,Unseen,Automata_W3_A4,7,25.0,0.08,4.0,0.0,0.25,3.0,4.0
0.5840589417280643,0.29577464788732394,0.03547297297297297,0.06334841628959276,0.010156869888305664,0.002838134765625,SKAB_Fold2,Unseen,Automata_W3_A5,7,31.0,0.061394380853277836,0.0,0.0,0.0,3.0,5.0
0.5833891493636972,0.25806451612903225,0.02702702702702703,0.04892966360856269,0.010234355926513672,0.0027618408203125,SKAB_Fold2,Unseen,Automata_W3_A6,7,40.0,0.05125,0.0,0.0,0.0,3.0,6.0
